date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:50	48378/48378	---M-Z	200	added ('OK')	text/html	etag:%22e63e99-bcfa-5a7b430122280-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/index.html	(from )
09:20:51	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2003:50:52%20GMT	http://radixtouch.in/robots.txt		(from )
09:20:55	205715/205715	---M--	200	added ('OK')	text/css	etag:%22e63dbf-32393-5a7b49d25b800%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/css/app.min.css	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/css/app.min.css	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:20:58	59276/59276	---M--	200	added ('OK')	text/css	etag:%22e6279b-e78c-5a7b535e3dabd%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/css/components.css	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/css/components.css	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:20:58	173763/173763	---M--	200	added ('OK')	text/css	etag:%22e65528-2a6c3-5a912a2d26177%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/css/style.css	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/css/style.css	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:20:59	28218/28218	---M--	200	added ('OK')	text/css	etag:%22e6282b-6e3a-5a22cbfd19f00%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/bundles/bootstrap-social/bootstrap-social.css	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/bundles/bootstrap-social/bootstrap-social.css	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:00	33688/33688	---M--	200	added ('OK')	text/css	etag:%22e62dc3-8398-5a22cbd323c00%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/bundles/flag-icon-css/css/flag-icon.min.css	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/bundles/flag-icon-css/css/flag-icon.min.css	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:02	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%22e63e15-3c2e-5a7ac8ceb5600%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/favicon.ico	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/favicon.ico	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:07	29362/29362	---M--	200	added ('OK')	image/png	etag:%22e63e30-72b2-5a6e74290df00%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/users/user-1.png	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/users/user-1.png	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:07	40657/40657	---M--	200	added ('OK')	image/png	etag:%22e63e34-9ed1-5a6e7445aa280%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/users/user-5.png	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/users/user-5.png	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:08	34033/34033	---M--	200	added ('OK')	image/png	etag:%22e63e31-84f1-5a6e745304200%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/users/user-2.png	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/users/user-2.png	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:08	43726/43726	---M-Z	200	added ('OK')	text/html	etag:%22e63ea6-aace-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/profile.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/profile.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:08	48292/48292	---M-Z	200	added ('OK')	text/html	etag:%22e63eab-bca4-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/timeline.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/timeline.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:08	4321/4321	---M-Z	200	added ('OK')	text/html	etag:%22e63e64-10e1-5a7b0e6928d00-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/auth-login.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/auth-login.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:09	48098/48098	---M--	200	added ('OK')	image/png	etag:%22e63e33-bbe2-5a6e743e09080%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/users/user-4.png	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/users/user-4.png	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:09	10904/10904	---M--	200	added ('OK')	image/png	etag:%22e63e2f-2a98-5a6e741042480%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/user.png	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/user.png	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:10	54506/54506	---M-Z	200	added ('OK')	text/html	etag:%22e63e81-d4ea-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/email-inbox.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/email-inbox.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:10	9110/9110	---M--	200	added ('OK')	image/png	etag:%22e63e18-2396-5a7a8b0ac9d00%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/logo.png	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/logo.png	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:10	34751/34751	---M-Z	200	added ('OK')	text/html	etag:%22e63e78-87bf-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/chat.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/chat.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
